FIPS,name,hwbi,moe,cn,cn_moe,cf,cf_moe,ed,ed_moe,he,he_moe,lt,lt_moe,ls,ls_moe,ss,ss_moe,sc,sc_moe
13043,"Candler County, Georgia",52.90629184,2.758373788,34.7207638,11.57914098,60.96589273,11.52877942,57.72676842,3.276053088,57.88202957,3.223440299,49.78395808,3.370198125,51.96925858,4.016937616,57.06461613,4.938612327,58.7839193,3.010241818
13045,"Carroll County, Georgia",53.42411823,2.209649077,47.3043937,10.57365922,50.93535487,10.54223142,53.16010476,2.619900106,63.41296012,2.060686719,57.37697631,2.065593736,51.53364535,1.976061537,56.41599131,4.935438477,48.97601958,2.581918118
13047,"Catoosa County, Georgia",54.20148223,2.34114784,47.3043937,10.53830835,47.89351401,10.65174515,50.55286677,3.31107323,62.18607208,2.076003576,57.62543776,2.218124604,54.23599179,3.86010274,65.31102886,4.84429545,51.23701948,2.738509063
13049,"Charlton County, Georgia",49.59830367,2.225193412,57.86311365,11.28026643,41.50964031,10.03327,40.10449081,3.22114902,54.52970489,3.129657381,56.34276166,3.449290172,49.94449927,3.926584583,58.58846224,5.003110319,42.2882555,3.114874818
13051,"Chatham County, Georgia",47.59515532,2.1231555,57.36498253,11.29260811,39.49265103,9.958098852,34.64561593,2.80553242,58.7268912,1.742609326,60.74478884,2.4798682,47.12669714,1.888914983,49.902431,4.941077083,39.99040508,2.685190642
13053,"Chattahoochee County, Georgia",52.63476742,2.985209344,34.7207638,11.48315332,47.37005772,12.53231768,59.74387949,3.267346632,67.76540243,2.847291387,57.69304475,3.400898878,50.76247453,3.900827646,53.88674937,5.266331186,56.05815624,2.968348339
13055,"Chattooga County, Georgia",51.68627803,2.661385133,34.7207638,11.54977261,55.95122297,10.67726643,57.28965388,3.303166981,53.92748886,2.267665919,47.4838695,2.795065549,51.29636673,3.922885377,66.62385846,4.847915467,52.29429787,2.822828003
13057,"Cherokee County, Georgia",55.31251021,2.234505766,57.36498253,11.40225671,48.49720506,10.78134348,57.30930314,2.691435057,63.06023332,1.850897888,55.85831283,2.180815027,51.81820171,1.969602153,67.77968645,5.01755162,44.41942805,2.809886725
13059,"Clarke County, Georgia",47.79962952,2.23229628,57.36498253,11.35240095,36.53652154,10.06348568,39.44842423,2.828271282,61.7066457,1.650986446,56.47904296,2.27269803,46.30209215,2.133032933,49.2925269,5.079316875,41.43731014,2.729606283
13061,"Clay County, Georgia",51.94724948,3.058407156,27.77207488,11.123871,62.97067209,11.31821509,62.1479877,3.3200852,53.06985672,3.237093701,48.24753391,3.641629162,49.85438783,4.034044871,59.95814461,5.307917405,63.74588044,3.153702923
